file,target,exists
README.md,figures/sample_flow.png,True
README.md,figures/aem_coefficients.png,True
README.md,figures/rem_coefficients.png,True
README.md,src/,True
README.md,scripts/,True
README.md,tests/,True
README.md,data/README.md,True
README.md,data/required_schema.csv,True
README.md,docs/,True
README.md,docs/methodology.md,True
README.md,docs/results.md,True
README.md,docs/reproducibility.md,True
README.md,docs/limitations.md,True
README.md,docs/license_note.md,True
README.md,results/,True
README.md,figures/,True
README.md,qa/,True
docs/results.md,../figures/aem_age_band_robustness.png,True
docs/results.md,../figures/rem_age_band_robustness.png,True
